Collection,Location,Box,Folder,Series,Subseries,Description
Glenn,01-8-38-04-06-0-1,2,18,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - laser fusion, 1975."
Glenn,01-8-38-04-06-0-1,2,19,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - MX missile, 1981."
Glenn,01-8-38-04-06-0-1,2,20,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - National  Afro-American Museum, Wilberforce, Ohio, 1979."
Glenn,01-8-38-04-06-0-1,2,21,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - natural gas, 1977-1978."
Glenn,01-8-38-04-06-0-1,2,22,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Ohio legislative issues, 1978-1979."
Glenn,01-8-38-04-06-0-1,2,23,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - private foundation investment in public utilities, 1977-1978."
Glenn,01-8-38-04-06-0-1,2,24,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - revenue sharing, 1975."
Glenn,01-8-38-04-06-0-1,2,25,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - sunset review of tax expenditure, 1978-1979."
Glenn,01-8-38-04-06-0-1,2,26,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - state legislature per diem tax reduction, 1978."
Glenn,01-8-38-04-06-0-1,2,27,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - transportation issues, 1975-1980."
Glenn,01-8-38-04-06-0-1,2,28,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Treasury Department matters, 1977-1978."
Glenn,01-8-38-04-06-0-1,2,29,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Uranium Enrichment Production (Portsmouth/Piketon plant), 1975 - May 1976."
Glenn,01-8-38-04-06-0-1,2,30,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Uranium Enrichment Production (Portsmouth/Piketon plant), June - December 1976."
Glenn,01-8-38-04-06-0-1,2,31,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Uranium Enrichment Production (Portsmouth/Piketon plant), 1977-1978."
Glenn,01-8-38-04-06-0-1,2,32,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - utility reform, 1976-1978."
Glenn,01-8-38-04-06-0-1,2,33,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - veterans, 1977."
Glenn,01-8-39-16-07-0-1,3,1,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Aeroquip Company plant (Youngstown), 1978."
Glenn,01-8-39-16-07-0-1,3,2,Personal/Political,Administrative Assistant,"William R. White - Subject Files - African American issues, 1976-1978."
Glenn,01-8-39-16-07-0-1,3,3,Personal/Political,Administrative Assistant,"William R. White - Subject Files - agriculture issues, 1977-78."
Glenn,01-8-39-16-07-0-1,3,4,Personal/Political,Administrative Assistant,"William R. White - Subject Files - agriculture issues, 1980-1982."
Glenn,01-8-39-16-07-0-1,3,5,Personal/Political,Administrative Assistant,"William R. White - Subject Files - banking, Depository Institutions Deregulation Committee, 1979-1982."
Glenn,01-8-39-16-07-0-1,3,6,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Bragaw, Richard S., 1977-1978."
Glenn,01-8-39-16-07-0-1,3,7,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Buckeye Federal Savings and Loan, 1977."
Glenn,01-8-39-16-07-0-1,3,8,Personal/Political,Administrative Assistant,"William R. White - Subject Files - busing, 1976-1977."
Glenn,01-8-39-16-07-0-1,3,9,Personal/Political,Administrative Assistant,"William R. White - Subject Files - campaign contributions by federal employees, background materials, 1974-1979."
Glenn,01-8-39-16-07-0-1,3,10,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Cardington, Ohio, tornado, 1981."
Glenn,01-8-39-16-07-0-1,3,11,Personal/Political,Administrative Assistant,"William R. White - Subject Files - census (1980) matters, 1979."
Glenn,01-8-39-16-07-0-1,3,12,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Cleveland, 1978-1981."
Glenn,01-8-39-16-07-0-1,3,13,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Close-up Foundation, 1978-1981."
Glenn,01-8-39-16-07-0-1,3,14,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal gasification, 1977-1978."
Glenn,01-8-39-16-07-0-1,3,15,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal, impact of the Clean Air Act on Ohio, 1978-1979."
Glenn,01-8-39-16-07-0-1,3,16,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal, impact of the Clean Air Act on Ohio, 1980-1981."
Glenn,01-8-39-16-07-0-1,3,17,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal, PPG Industries, Barberton plant, 1979."
Glenn,01-8-39-16-07-0-1,3,18,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal, PPG Industries, Barberton plant, 1980."
Glenn,01-8-39-16-07-0-1,3,19,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal strike, 1978."
Glenn,01-8-39-16-07-0-1,3,20,Personal/Political,Administrative Assistant,"William R. White - Subject Files - coal washing project, 1978-1980."
Glenn,01-8-39-16-07-0-1,3,21,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Columbus, Capitol South Project, 1975-1981."
Glenn,01-8-39-16-07-0-1,3,22,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Congressional Fellow Program, 1976."
Glenn,01-8-39-16-07-0-1,3,23,Personal/Political,Administrative Assistant,"William R. White - Subject Files - constituent casework, White House Survey on, 1977."
Glenn,01-8-39-16-07-0-1,3,24,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Cooper Tire and Rubber Company, 1977-1978."
Glenn,01-8-39-16-07-0-1,3,25,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Corey, Paul A."
Glenn,01-8-39-16-07-0-1,3,26,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, bicentennial, 1976 (sampled)."
Glenn,01-8-39-16-07-0-1,3,27,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, complaints, 1976 (sampled)."
Glenn,01-8-39-16-07-0-1,3,28,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, general, 1976 (sampled)."
Glenn,01-8-39-16-07-0-1,3,29,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, legislation, 1976-1981 (sampled)."
Glenn,01-8-39-16-07-0-1,3,30,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, majority leader, 1976 (sampled)."
Glenn,01-8-39-16-07-0-1,3,31,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, thank-you letters, 1981-1982 (sampled)."
Glenn,01-8-39-16-07-0-1,3,32,Personal/Political,Administrative Assistant,"William R. White - Subject Files - correspondence, voting record, 1976-1981 (sampled)."
Glenn,01-8-39-16-07-0-1,3,33,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Davis-Besse Nuclear Power Station, 1975."
Glenn,01-8-39-16-07-0-1,3,34,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Department of Defense, Defense Logistics Agency, 1977-1979."
Glenn,01-8-39-16-07-0-1,3,35,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Democratic National Convention, 1976."
Glenn,01-8-39-16-07-0-1,3,36,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Democratic National Convention, JHG's keynote speech, 1976."
Glenn,01-8-39-16-07-0-1,3,37,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Democratic National Strategy Council, 1982."
Glenn,01-8-39-16-07-0-1,3,38,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Dillingham Corporation, 1977."
Glenn,01-8-39-16-07-0-1,3,39,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Disalle, Michael V., 1977-1979."
Glenn,01-7-23-20-03-0-1,4,1,Personal/Political,Administrative Assistant,"William R. White - Subject Files - economy, 1982."
Glenn,01-7-23-20-03-0-1,4,2,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Egan, Michael, 1978."
Glenn,01-7-23-20-03-0-1,4,3,Personal/Political,Administrative Assistant,"William R. White - Subject Files - endorsements, 1976."
Glenn,01-7-23-20-03-0-1,4,4,Personal/Political,Administrative Assistant,"William R. White - Subject Files - energy emergencies in Ohio, 1977-1978."
Glenn,01-7-23-20-03-0-1,4,5,Personal/Political,Administrative Assistant,"William R. White - Subject Files - émigrés, 1977-1978."
Glenn,01-7-23-20-03-0-1,4,6,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Federal Grants and Projects Workshop Series, 1978."
Glenn,01-7-23-20-03-0-1,4,7,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Federal Power Commission (Ohio ), 1977."
Glenn,01-7-23-20-03-0-1,4,8,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Ford, Carl (Foreign Relations Committee and 1984 presidential campaign)."
Glenn,01-7-23-20-03-0-1,4,9,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Garland, Snyder (Greene County, Ohio, Branch, NAACP), 1978."
Glenn,01-7-23-20-03-0-1,4,10,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Gillian, Reginald, appointment to Interstate Commerce Commission Board, 1976-1980."
Glenn,01-7-23-20-03-0-1,4,11,Personal/Political,Administrative Assistant,"William R. White - Subject Files - grants workshops in Ohio, JHG sponsored, 1977-1979."
Glenn,01-7-23-20-03-0-1,4,12,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Health, Education and Welfare (Federal Department of), 1977-1978; cuts in Medicare funding to Ohio."
Glenn,01-7-23-20-03-0-1,4,13,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Heinz, Senator John, 1982."
Glenn,01-7-23-20-03-0-1,4,14,Personal/Political,Administrative Assistant,"William R. White - Subject Files - high speed rail, 1982."
Glenn,01-7-23-20-03-0-1,4,15,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Hole, William E., correspondence, 1975-1976."
Glenn,01-7-23-20-03-0-1,4,16,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Hole, William E., correspondence, 1977-1978."
Glenn,01-7-23-20-03-0-1,4,17,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Hole, William E., correspondence, 1979-1981."
Glenn,01-7-23-20-03-0-1,4,18,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Hoskins, Clayton C., 1980-1983."
Glenn,01-7-23-20-03-0-1,4,19,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Housing and Urban Development (Federal Department of), 1975-1978."
Glenn,01-7-23-20-03-0-1,4,20,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Humphrey, Hubert H., 1978."
Glenn,01-7-23-20-03-0-1,4,21,Personal/Political,Administrative Assistant,"William R. White - Subject Files - industrial fastener industry, 1977-1979."
Glenn,01-7-23-20-03-0-1,4,22,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Kent State University, 1977."
Glenn,01-7-23-20-03-0-1,4,23,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Kerr, Frank (Batin Iran Corporation), 1978."
Glenn,01-7-23-20-03-0-1,4,24,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Kucinich, Dennis, 1977-1978."
Glenn,01-7-23-20-03-0-1,4,25,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Leahy, Patrick, 1982."
Glenn,01-7-23-20-03-0-1,4,26,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Leadership Cleveland, 1978-1981."
Glenn,01-7-23-20-03-0-1,4,27,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Lifmann, Edward (Arthur Teachers Fish & Chips, Inc.), 1977-1979."
Glenn,01-7-23-20-03-0-1,4,28,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Lorain (Ohio) water tower, 1977-1978."
Glenn,01-7-23-20-03-0-1,4,29,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Lubbers, William A., 1979-1980."
Glenn,01-7-23-20-03-0-1,4,30,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Malabar Farms, 1976."
Glenn,01-7-23-20-03-0-1,4,31,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Marathon Oil Corporation, 1981."
Glenn,01-7-23-20-03-0-1,4,32,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Mead Corporation , 1978."
Glenn,01-7-23-20-03-0-1,4,33,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Metzenbaum, Howard M., 1976."
Glenn,01-7-23-20-03-0-1,4,34,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Muskingum College lawsuit, 1979."
Glenn,01-7-23-20-03-0-1,4,35,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Newfield New Community Development, Dayton, 1977."
Glenn,01-7-23-20-03-0-1,4,36,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Northeast-Midwest Coalition, 1977-1981."
Glenn,01-7-23-20-03-0-1,4,37,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Ohio EPA, 1977-1979."
Glenn,01-7-23-20-03-0-1,4,38,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Ohio EPA's problem with pollution discharge elimination system permits, 1978."
Glenn,01-7-23-20-03-0-1,4,39,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Ohio Trading Company, 1979"
Glenn,01-7-23-20-03-0-1,4,40,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Owens/Corning Fiberglass Corporation, 1977-1979."
Glenn,01-7-23-20-03-0-1,4,41,Personal/Political,Administrative Assistant,William R. White - Subject Files - Owens-Illinois (William F. Niehous kidnapping in Venezuela).
Glenn,01-7-23-20-03-0-1,4,42,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Patriot's Pledge, 1977."
Glenn,01-7-23-20-03-0-1,4,43,Personal/Political,Administrative Assistant,"William R. White - Subject Files - People's Republic of China trip, 1976."
Glenn,01-7-23-20-03-0-1,4,44,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Plum Brook Station Power Facility, 1979 (Garrett Company interest in)."
Glenn,01-7-23-20-03-0-1,4,45,Personal/Political,Administrative Assistant,"William R. White - Subject Files - polls, 1977-1978."
Glenn,01-7-23-20-03-0-1,4,46,Personal/Political,Administrative Assistant,"William R. White - Subject Files - projects, 1977-1980."
Glenn,01-7-23-15-07-0-1,5,1,Personal/Political,Administrative Assistant,"William R. White - Subject Files - recommendations, 1976."
Glenn,01-7-23-15-07-0-1,5,2,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Republic of China (Taiwan), trip, 1976."
Glenn,01-7-23-15-07-0-1,5,3,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Republic of China (Taiwan), trade mission, 1981."
Glenn,01-7-23-15-07-0-1,5,4,Personal/Political,Administrative Assistant,"William R. White - Subject Files - requests, 1976."
Glenn,01-7-23-15-07-0-1,5,5,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Rhodes, James A., 1977."
Glenn,01-7-23-15-07-0-1,5,6,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Rickenbacker Air Force Base, 1978-1981."
Glenn,01-7-23-15-07-0-1,5,7,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Sanders, Gerald H., 1978."
Glenn,01-7-23-15-07-0-1,5,8,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Saudi Arabia, sale of arms to, 1981."
Glenn,01-7-23-15-07-0-1,5,9,Personal/Political,Administrative Assistant,"William R. White - Subject Files - senate office organization, 1976-1980."
Glenn,01-7-23-15-07-0-1,5,10,Personal/Political,Administrative Assistant,"William R. White - Subject Files - schedule (JHG's), 1981-1982."
Glenn,01-7-23-15-07-0-1,5,11,Personal/Political,Administrative Assistant,"William R. White - Subject Files - scrap iron and steel industry, 1975."
Glenn,01-7-23-15-07-0-1,5,12,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, correspondence on the, 1977-1978."
Glenn,01-7-23-15-07-0-1,5,13,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, Dear Colleagues letters, 1977."
Glenn,01-7-23-15-07-0-1,5,14,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, memorandum ( JHG staff) on, 1977-1978."
Glenn,01-7-23-15-07-0-1,5,15,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, miscellaneous materials - notes, statements, and news clips, 1977-1978."
Glenn,01-7-23-15-07-0-1,5,16,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, news releases on the, 1977-1978."
Glenn,01-7-23-15-07-0-1,5,17,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, information on specialty steel, 1977."
Glenn,01-7-23-15-07-0-1,5,18,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, White House meeting on the, October 1977."
Glenn,01-7-23-15-07-0-1,5,19,Personal/Political,Administrative Assistant,"William R. White - Subject Files - steel industry, White House report on the, December 1977."
Glenn,01-7-23-15-07-0-1,5,20,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Traficant, James A., 1982."
Glenn,01-7-23-15-07-0-1,5,21,Personal/Political,Administrative Assistant,"William R. White - Subject Files - United Arab Emigrates trip, background materials, 1982."
Glenn,01-7-23-15-07-0-1,5,22,Personal/Political,Administrative Assistant,"William R. White - Subject Files - United Arab Emigrates trip, Carl Ford briefing book, 1982."
Glenn,01-7-23-15-07-0-1,5,23,Personal/Political,Administrative Assistant,"William R. White - Subject Files - United Arab Emigrates trip, general file, 1982."
Glenn,01-7-23-15-07-0-1,5,24,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Vistron Corporation, 1979."
Glenn,01-7-23-15-07-0-1,5,25,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Western Reserve Economic Development Agency, 1975-1977."
Glenn,01-7-23-15-07-0-1,5,26,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Williams, Senator Harrison A., 1976-1981."
Glenn,01-7-23-15-07-0-1,5,27,Personal/Political,Administrative Assistant,William R. White - Telephone Log - May - June 1975.
Glenn,01-7-23-15-07-0-1,5,28,Personal/Political,Administrative Assistant,William R. White - Telephone Log - July - August 1975.
Glenn,01-7-23-15-07-0-1,5,29,Personal/Political,Administrative Assistant,William R. White - Telephone Log - September - October 1975.
Glenn,01-7-23-15-07-0-1,5,30,Personal/Political,Administrative Assistant,William R. White - Telephone Log - November - December 1975.
Glenn,01-7-23-15-07-0-1,5,31,Personal/Political,Administrative Assistant,William R. White - Telephone Log - January - February 1976.
Glenn,01-7-23-15-07-0-1,5,32,Personal/Political,Administrative Assistant,William R. White - Telephone Log - March - April 1976.
Glenn,01-7-23-15-07-0-1,5,33,Personal/Political,Administrative Assistant,William R. White - Telephone Log - May - June 1976.
Glenn,01-7-23-15-07-0-1,5,34,Personal/Political,Administrative Assistant,William R. White - Telephone Log - July - August 1976.
Glenn,01-7-23-15-07-0-1,5,35,Personal/Political,Administrative Assistant,William R. White - Telephone Log - September - October 1976.
Glenn,01-8-39-15-07-0-1,6,1,Personal/Political,Administrative Assistant,William R. White - Telephone Log - November - December 1976.
Glenn,01-8-39-15-07-0-1,6,2,Personal/Political,Administrative Assistant,William R. White - Telephone Log - January - February 1977.
Glenn,01-8-39-15-07-0-1,6,3,Personal/Political,Administrative Assistant,William R. White - Telephone Log - March - April 1977.
Glenn,01-8-39-15-07-0-1,6,4,Personal/Political,Administrative Assistant,William R. White - Telephone Log - May - June 1977.
Glenn,01-8-39-15-07-0-1,6,5,Personal/Political,Administrative Assistant,William R. White - Telephone Log - July - August 1977.
Glenn,01-8-39-15-07-0-1,6,6,Personal/Political,Administrative Assistant,William R. White - Telephone Log - September - October 1977.
Glenn,01-8-39-15-07-0-1,6,7,Personal/Political,Administrative Assistant,William R. White - Telephone Log - November - December 1977.
Glenn,01-8-39-15-07-0-1,6,8,Personal/Political,Administrative Assistant,William R. White - Telephone Log - January - February 1978.
Glenn,01-8-39-15-07-0-1,6,9,Personal/Political,Administrative Assistant,William R. White - Telephone Log - April 1978.
Glenn,01-8-39-15-07-0-1,6,10,Personal/Political,Administrative Assistant,William R. White - Telephone Log - May - June 1978.
Glenn,01-8-39-15-07-0-1,6,11,Personal/Political,Administrative Assistant,William R. White - Telephone Log - July - August 1978.
Glenn,01-8-39-15-07-0-1,6,12,Personal/Political,Administrative Assistant,William R. White - Telephone Log - September - October 1978.
Glenn,01-8-39-15-07-0-1,6,13,Personal/Political,Administrative Assistant,William R. White - Telephone Log - November - December 1978.
Glenn,01-8-39-15-07-0-1,6,14,Personal/Political,Administrative Assistant,William R. White - Telephone Log - January - February 1979.
Glenn,01-8-39-15-07-0-1,6,15,Personal/Political,Administrative Assistant,William R. White - Telephone Log - March - April 1979.
Glenn,01-8-39-15-07-0-1,6,16,Personal/Political,Administrative Assistant,William R. White - Telephone Log - May - June 1979.
Glenn,01-8-39-15-07-0-1,6,17,Personal/Political,Administrative Assistant,William R. White - Telephone Log - July - August 1979.
Glenn,01-8-39-15-07-0-1,6,18,Personal/Political,Administrative Assistant,William R. White - Telephone Log - September - October 1979.
Glenn,01-8-39-15-07-0-1,6,19,Personal/Political,Administrative Assistant,William R. White - Telephone Log - November - December 1979.
Glenn,01-8-39-15-07-0-1,6,20,Personal/Political,Administrative Assistant,William R. White - Telephone Log - January - February 1980.
Glenn,01-8-39-15-07-0-1,6,21,Personal/Political,Administrative Assistant,William R. White - Telephone Log - March - April 1980.
Glenn,01-8-39-15-07-0-1,6,22,Personal/Political,Administrative Assistant,William R. White - Telephone Log - May - June 1980.
Glenn,01-8-39-15-07-0-1,6,23,Personal/Political,Administrative Assistant,William R. White - Telephone Log - July - August 1980.
Glenn,01-8-39-15-07-0-1,6,24,Personal/Political,Administrative Assistant,William R. White - Telephone Log - September - November 1980.
Glenn,01-8-39-15-07-0-1,6,25,Personal/Political,Administrative Assistant,William R. White - Telephone Log - November - December 1980.
Glenn,01-7-30-16-02-0-1,7,1,Personal/Political,Administrative Assistant,"Mary Jane Veno - Correspondence - Arnold, Caroline, 1989-1990."
Glenn,01-7-30-16-02-0-1,7,2,Personal/Political,Administrative Assistant,"Mary Jane Veno - Correspondence - Arnold, Caroline, 1991."
Glenn,01-7-30-16-02-0-1,7,3,Personal/Political,Administrative Assistant,"Mary Jane Veno - Correspondence - Arnold, Caroline, 1992-1996."
Glenn,01-7-30-16-02-0-1,7,4,Personal/Political,Administrative Assistant,"Mary Jane Veno - Correspondence - Allen, Pongsum Choi (Sunny), 1996."
Glenn,01-7-30-16-02-0-1,7,5,Personal/Political,Administrative Assistant,"Mary Jane Veno - Correspondence - Austin, Gerald J., no date, circa 1992."
